ID_CLIENTE,INADIMPLENTE
0,0.020622395
0,0.04414141
0,0.04414141
0,0.04414141
0,0.044173434
0,0.044173434
0,0.044173434
0,0.044173434
0,0.032642763
0,0.021930523
0,0.045524906
0,0.044103034
0,0.044103034
0,0.050752446
0,0.037845347
0,0.04891702
0,0.044103034
0,0.044103034
0,0.032881517
0,0.032881517
0,0.04891702
0,0.31131226
0,0.057024147
0,0.04891702
0,0.04891702
0,0.04414141
0,0.04414141
0,0.04891702
0,0.057024147
0,0.04891702
0,0.057024147
0,0.07505023
0,0.31131226
0,0.04414141
0,0.04414141
0,0.31131226
0,0.021179404
0,0.021173354
0,0.032881517
0,0.04891702
0,0.03141974
0,0.04414141
0,0.04891702
0,0.04891702
0,0.033948086
0,0.037845347
0,0.04414141
0,0.041651558
0,0.037845347
0,0.049161494
0,0.03141974
0,0.037845347
0,0.041651558
0,0.041651558
0,0.045361064
0,0.045361064
0,0.03938872
0,0.043038283
0,0.035269298
0,0.04414141
0,0.038351156
0,0.044173434
0,0.044173434
0,0.044173434
0,0.038351156
0,0.044173434
0,0.03624992
0,0.031042907
0,0.03624992
0,0.050752446
0,0.048633363
0,0.049674682
0,0.03838473
0,0.049161494
0,0.037845347
0,0.045361064
0,0.050442316
0,0.045361064
0,0.057024147
0,0.31131226
0,0.04414141
0,0.04414141
0,0.057024147
0,0.07505023
0,0.07505023
0,0.08447925
0,0.11065769
0,0.31131226
0,0.31131226
0,0.31131226
0,0.08447925
0,0.31131226
0,0.05583782
0,0.07505023
0,0.032026816
0,0.043038283
0,0.04891702
0,0.04891702
0,0.15686184
0,0.31131226
0,0.31131226
0,0.31131226
0,0.057024147
0,0.15686184
0,0.057024147
0,0.15686184
0,0.31131226
0,0.31131226
0,0.044173434
0,0.06553897
0,0.2809539
0,0.03838473
0,0.0971076
0,0.0971076
0,0.0971076
0,0.0971076
0,0.043038283
0,0.012023285
0,0.032881517
0,0.042565268
0,0.0361182
0,0.050752446
0,0.044103034
0,0.022817586
0,0.044103034
0,0.050752446
0,0.044103034
0,0.050752446
0,0.033948086
0,0.04891702
0,0.022812244
0,0.037845347
0,0.050752446
0,0.05583782
0,0.05583782
0,0.033948086
0,0.050752446
0,0.07505023
0,0.042779423
0,0.04414141
0,0.04242031
0,0.15686184
0,0.11065769
0,0.050442316
0,0.050442316
0,0.03903958
0,0.03903958
0,0.03903958
0,0.03903958
0,0.050442316
0,0.03903958
0,0.045361064
0,0.050442316
0,0.057024147
0,0.043038283
0,0.035269298
0,0.035269298
0,0.0361182
0,0.0361182
0,0.0361182
0,0.0361182
0,0.057024147
0,0.041651558
0,0.04414141
0,0.04414141
0,0.03300744
0,0.045524906
0,0.03903958
0,0.045524906
0,0.049506422
0,0.04414141
0,0.035269298
0,0.02871086
0,0.042779423
0,0.032881517
0,0.04414141
0,0.04891702
0,0.044103034
0,0.07505023
0,0.0971076
0,0.07505023
0,0.045524906
0,0.03903958
0,0.03903958
0,0.03903958
0,0.13853534
0,0.13853534
0,0.009457024
0,0.13853534
0,0.035208344
0,0.04414141
0,0.050752446
0,0.057024147
0,0.04891702
0,0.07505023
0,0.049674682
